,activation,dist,id,vel
0,"[  5980.36230469   2185.5949707    1571.37817383   1900.38452148
   5278.33300781   2940.49707031  13394.79394531  20018.6328125
   9837.59960938   7401.90673828]",24.9553756714,0,3.0
1,"[  2185.5949707    1571.37817383   1900.38452148   5278.33300781
   2940.49707031  13394.79394531  20018.6328125    9837.59960938
   7401.90673828  14966.17675781]",24.939956665,0,3.0
2,"[  1571.37817383   1900.38452148   5278.33300781   2940.49707031
  13394.79394531  20018.6328125    9837.59960938   7401.90673828
  14966.17675781  29358.98632812]",24.8581142426,0,3.0
3,"[  1900.38452148   5278.33300781   2940.49707031  13394.79394531
  20018.6328125    9837.59960938   7401.90673828  14966.17675781
  29358.98632812   4253.32177734]",24.6448116302,0,3.0
4,"[  5278.33300781   2940.49707031  13394.79394531  20018.6328125
   9837.59960938   7401.90673828  14966.17675781  29358.98632812
   4253.32177734  14292.734375  ]",24.3471069336,0,3.0
5,"[  2940.49707031  13394.79394531  20018.6328125    9837.59960938
   7401.90673828  14966.17675781  29358.98632812   4253.32177734
  14292.734375    25582.140625  ]",23.9735832214,0,3.0
6,"[ 13394.79394531  20018.6328125    9837.59960938   7401.90673828
  14966.17675781  29358.98632812   4253.32177734  14292.734375
  25582.140625    10818.98046875]",23.5799293518,0,3.0
7,"[ 20018.6328125    9837.59960938   7401.90673828  14966.17675781
  29358.98632812   4253.32177734  14292.734375    25582.140625
  10818.98046875  13813.29589844]",23.1864185333,0,3.0
8,"[  9837.59960938   7401.90673828  14966.17675781  29358.98632812
   4253.32177734  14292.734375    25582.140625    10818.98046875
  13813.29589844   8914.64257812]",22.7491359711,0,3.0
9,"[  7401.90673828  14966.17675781  29358.98632812   4253.32177734
  14292.734375    25582.140625    10818.98046875  13813.29589844
   8914.64257812   5040.31201172]",22.3071556091,0,3.0
10,"[ 14966.17675781  29358.98632812   4253.32177734  14292.734375
  25582.140625    10818.98046875  13813.29589844   8914.64257812
   5040.31201172   4546.21435547]",21.8758277893,0,3.0
11,"[ 29358.98632812   4253.32177734  14292.734375    25582.140625
  10818.98046875  13813.29589844   8914.64257812   5040.31201172
   4546.21435547   3613.17333984]",21.311542511,0,3.0
12,"[  4253.32177734  14292.734375    25582.140625    10818.98046875
  13813.29589844   8914.64257812   5040.31201172   4546.21435547
   3613.17333984   3345.7800293 ]",20.8355255127,0,3.0
13,"[ 14292.734375    25582.140625    10818.98046875  13813.29589844
   8914.64257812   5040.31201172   4546.21435547   3613.17333984
   3345.7800293    2876.28344727]",20.3508777618,0,3.0
14,"[ 25582.140625    10818.98046875  13813.29589844   8914.64257812
   5040.31201172   4546.21435547   3613.17333984   3345.7800293
   2876.28344727   1874.69311523]",19.9646682739,0,3.0
15,"[ 10818.98046875  13813.29589844   8914.64257812   5040.31201172
   4546.21435547   3613.17333984   3345.7800293    2876.28344727
   1874.69311523   1322.17346191]",19.3749752045,0,3.0
16,"[ 13813.29589844   8914.64257812   5040.31201172   4546.21435547
   3613.17333984   3345.7800293    2876.28344727   1874.69311523
   1322.17346191   1407.28564453]",18.9953632355,0,3.0
17,"[ 8914.64257812  5040.31201172  4546.21435547  3613.17333984  3345.7800293
  2876.28344727  1874.69311523  1322.17346191  1407.28564453  1267.56420898]",18.4821567535,0,3.0
18,"[ 5040.31201172  4546.21435547  3613.17333984  3345.7800293   2876.28344727
  1874.69311523  1322.17346191  1407.28564453  1267.56420898  1435.82263184]",17.9765872955,0,3.0
19,"[ 4546.21435547  3613.17333984  3345.7800293   2876.28344727  1874.69311523
  1322.17346191  1407.28564453  1267.56420898  1435.82263184  2017.4309082 ]",17.4911651611,0,3.0
20,"[ 3613.17333984  3345.7800293   2876.28344727  1874.69311523  1322.17346191
  1407.28564453  1267.56420898  1435.82263184  2017.4309082   1699.86743164]",16.9662647247,0,3.0
21,"[ 3345.7800293   2876.28344727  1874.69311523  1322.17346191  1407.28564453
  1267.56420898  1435.82263184  2017.4309082   1699.86743164  1396.77441406]",16.450881958,0,3.0
22,"[ 2876.28344727  1874.69311523  1322.17346191  1407.28564453  1267.56420898
  1435.82263184  2017.4309082   1699.86743164  1396.77441406  1518.65368652]",15.9591550827,0,3.0
23,"[ 1874.69311523  1322.17346191  1407.28564453  1267.56420898  1435.82263184
  2017.4309082   1699.86743164  1396.77441406  1518.65368652  1742.17150879]",15.4299793243,0,3.0
24,"[ 1322.17346191  1407.28564453  1267.56420898  1435.82263184  2017.4309082
  1699.86743164  1396.77441406  1518.65368652  1742.17150879  1591.39147949]",14.9128799438,0,3.0
25,"[ 1407.28564453  1267.56420898  1435.82263184  2017.4309082   1699.86743164
  1396.77441406  1518.65368652  1742.17150879  1591.39147949  2495.02368164]",14.4181118011,0,3.0
26,"[ 1267.56420898  1435.82263184  2017.4309082   1699.86743164  1396.77441406
  1518.65368652  1742.17150879  1591.39147949  2495.02368164  1637.68725586]",13.8842430115,0,3.0
27,"[ 1435.82263184  2017.4309082   1699.86743164  1396.77441406  1518.65368652
  1742.17150879  1591.39147949  2495.02368164  1637.68725586  1754.58764648]",13.3621492386,0,3.0
28,"[ 2017.4309082   1699.86743164  1396.77441406  1518.65368652  1742.17150879
  1591.39147949  2495.02368164  1637.68725586  1754.58764648  1188.77685547]",12.8638458252,0,3.0
29,"[ 1699.86743164  1396.77441406  1518.65368652  1742.17150879  1591.39147949
  2495.02368164  1637.68725586  1754.58764648  1188.77685547  1532.83337402]",12.3277864456,0,3.0
30,"[ 1396.77441406  1518.65368652  1742.17150879  1591.39147949  2495.02368164
  1637.68725586  1754.58764648  1188.77685547  1532.83337402   827.73425293]",11.8037319183,0,3.0
31,"[ 1518.65368652  1742.17150879  1591.39147949  2495.02368164  1637.68725586
  1754.58764648  1188.77685547  1532.83337402   827.73425293   958.37945557]",11.3024196625,0,3.0
32,"[ 1742.17150879  1591.39147949  2495.02368164  1637.68725586  1754.58764648
  1188.77685547  1532.83337402   827.73425293   958.37945557  1061.78918457]",10.7656259537,0,3.0
33,"[ 1591.39147949  2495.02368164  1637.68725586  1754.58764648  1188.77685547
  1532.83337402   827.73425293   958.37945557  1061.78918457   730.66729736]",10.2389240265,0,3.0
34,"[ 2495.02368164  1637.68725586  1754.58764648  1188.77685547  1532.83337402
   827.73425293   958.37945557  1061.78918457   730.66729736   703.16790771]",9.73693656921,0,3.0
35,"[ 1637.68725586  1754.58764648  1188.77685547  1532.83337402   827.73425293
   958.37945557  1061.78918457   730.66729736   703.16790771   644.70593262]",9.19713592529,0,3.0
36,"[ 1754.58764648  1188.77685547  1532.83337402   827.73425293   958.37945557
  1061.78918457   730.66729736   703.16790771   644.70593262   656.00714111]",8.66941547394,0,3.0
37,"[ 1188.77685547  1532.83337402   827.73425293   958.37945557  1061.78918457
   730.66729736   703.16790771   644.70593262   656.00714111   709.0859375 ]",8.25353240967,0,3.0
38,"[ 1532.83337402   827.73425293   958.37945557  1061.78918457   730.66729736
   703.16790771   644.70593262   656.00714111   709.0859375    300.82974243]",7.62598609924,0,3.0
39,"[  827.73425293   958.37945557  1061.78918457   730.66729736   703.16790771
   644.70593262   656.00714111   709.0859375    300.82974243   221.73770142]",7.10185480118,0,3.0
40,"[  958.37945557  1061.78918457   730.66729736   703.16790771   644.70593262
   656.00714111   709.0859375    300.82974243   221.73770142   529.75213623]",6.60232686996,0,3.0
41,"[ 1061.78918457   730.66729736   703.16790771   644.70593262   656.00714111
   709.0859375    300.82974243   221.73770142   529.75213623   651.88494873]",6.06415367126,0,3.0
42,"[ 730.66729736  703.16790771  644.70593262  656.00714111  709.0859375
  300.82974243  221.73770142  529.75213623  651.88494873  148.03196716]",5.5373339653,0,3.0
43,"[ 703.16790771  644.70593262  656.00714111  709.0859375   300.82974243
  221.73770142  529.75213623  651.88494873  148.03196716  368.71826172]",5.03453779221,0,3.0
44,"[ 644.70593262  656.00714111  709.0859375   300.82974243  221.73770142
  529.75213623  651.88494873  148.03196716  368.71826172  175.301651  ]",4.59283781052,0,3.0
45,"[ 656.00714111  709.0859375   300.82974243  221.73770142  529.75213623
  651.88494873  148.03196716  368.71826172  175.301651    147.58322144]",3.96208763123,0,3.0
46,"[ 709.0859375   300.82974243  221.73770142  529.75213623  651.88494873
  148.03196716  368.71826172  175.301651    147.58322144  211.23028564]",3.54680752754,0,3.0
47,"[ 300.82974243  221.73770142  529.75213623  651.88494873  148.03196716
  368.71826172  175.301651    147.58322144  211.23028564  196.92755127]",3.01769185066,0,3.0
48,"[ 221.73770142  529.75213623  651.88494873  148.03196716  368.71826172
  175.301651    147.58322144  211.23028564  196.92755127  215.3374939 ]",2.52024888992,0,3.0
49,"[ 529.75213623  651.88494873  148.03196716  368.71826172  175.301651
  147.58322144  211.23028564  196.92755127  215.3374939   772.6831665 ]",1.98078477383,0,3.0
50,"[  6674.36425781   3664.36914062   2651.546875     1501.24694824
   2624.51416016   2410.72949219   3482.59472656  19704.5546875
  16021.33300781  15285.68652344]",24.9878463745,0,1.0
51,"[  3664.36914062   2651.546875     1501.24694824   2624.51416016
   2410.72949219   3482.59472656  19704.5546875   16021.33300781
  15285.68652344  12070.67773438]",24.9822711945,0,1.0
52,"[  2651.546875     1501.24694824   2624.51416016   2410.72949219
   3482.59472656  19704.5546875   16021.33300781  15285.68652344
  12070.67773438  19404.84765625]",24.9579429626,0,1.0
53,"[  1501.24694824   2624.51416016   2410.72949219   3482.59472656
  19704.5546875   16021.33300781  15285.68652344  12070.67773438
  19404.84765625  30371.61523438]",24.8894329071,0,1.0
54,"[  2624.51416016   2410.72949219   3482.59472656  19704.5546875
  16021.33300781  15285.68652344  12070.67773438  19404.84765625
  30371.61523438  17715.39648438]",24.7745609283,0,1.0
55,"[  2410.72949219   3482.59472656  19704.5546875   16021.33300781
  15285.68652344  12070.67773438  19404.84765625  30371.61523438
  17715.39648438  12601.24609375]",24.6401329041,0,1.0
56,"[  3482.59472656  19704.5546875   16021.33300781  15285.68652344
  12070.67773438  19404.84765625  30371.61523438  17715.39648438
  12601.24609375   7904.77832031]",24.5016403198,0,1.0
57,"[ 19704.5546875   16021.33300781  15285.68652344  12070.67773438
  19404.84765625  30371.61523438  17715.39648438  12601.24609375
   7904.77832031  23402.83984375]",24.3460273743,0,1.0
58,"[ 16021.33300781  15285.68652344  12070.67773438  19404.84765625
  30371.61523438  17715.39648438  12601.24609375   7904.77832031
  23402.83984375  26435.12695312]",24.1892051697,0,1.0
59,"[ 15285.68652344  12070.67773438  19404.84765625  30371.61523438
  17715.39648438  12601.24609375   7904.77832031  23402.83984375
  26435.12695312  11284.86132812]",24.0371417999,0,1.0
60,"[ 12070.67773438  19404.84765625  30371.61523438  17715.39648438
  12601.24609375   7904.77832031  23402.83984375  26435.12695312
  11284.86132812   5335.14160156]",23.8705329895,0,1.0
61,"[ 19404.84765625  30371.61523438  17715.39648438  12601.24609375
   7904.77832031  23402.83984375  26435.12695312  11284.86132812
   5335.14160156   4877.03076172]",23.7128143311,0,1.0
62,"[ 30371.61523438  17715.39648438  12601.24609375   7904.77832031
  23402.83984375  26435.12695312  11284.86132812   5335.14160156
   4877.03076172   3495.51513672]",23.5420246124,0,1.0
63,"[ 17715.39648438  12601.24609375   7904.77832031  23402.83984375
  26435.12695312  11284.86132812   5335.14160156   4877.03076172
   3495.51513672   4658.8359375 ]",23.3755226135,0,1.0
64,"[ 12601.24609375   7904.77832031  23402.83984375  26435.12695312
  11284.86132812   5335.14160156   4877.03076172   3495.51513672
   4658.8359375    3619.59082031]",23.2162380219,0,1.0
65,"[  7904.77832031  23402.83984375  26435.12695312  11284.86132812
   5335.14160156   4877.03076172   3495.51513672   4658.8359375
   3619.59082031   2156.32910156]",23.044801712,0,1.0
66,"[ 23402.83984375  26435.12695312  11284.86132812   5335.14160156
   4877.03076172   3495.51513672   4658.8359375    3619.59082031
   2156.32910156   1610.85180664]",22.9091205597,0,1.0
67,"[ 26435.12695312  11284.86132812   5335.14160156   4877.03076172
   3495.51513672   4658.8359375    3619.59082031   2156.32910156
   1610.85180664   1739.02416992]",22.7495651245,0,1.0
68,"[ 11284.86132812   5335.14160156   4877.03076172   3495.51513672
   4658.8359375    3619.59082031   2156.32910156   1610.85180664
   1739.02416992   1088.8659668 ]",22.5768051147,0,1.0
69,"[ 5335.14160156  4877.03076172  3495.51513672  4658.8359375   3619.59082031
  2156.32910156  1610.85180664  1739.02416992  1088.8659668   1194.19250488]",22.4066524506,0,1.0
70,"[ 4877.03076172  3495.51513672  4658.8359375   3619.59082031  2156.32910156
  1610.85180664  1739.02416992  1088.8659668   1194.19250488  1500.36853027]",22.2450962067,0,1.0
71,"[ 3495.51513672  4658.8359375   3619.59082031  2156.32910156  1610.85180664
  1739.02416992  1088.8659668   1194.19250488  1500.36853027  2468.2487793 ]",22.0722732544,0,1.0
72,"[ 4658.8359375   3619.59082031  2156.32910156  1610.85180664  1739.02416992
  1088.8659668   1194.19250488  1500.36853027  2468.2487793   1397.1003418 ]",21.9437294006,0,1.0
73,"[ 3619.59082031  2156.32910156  1610.85180664  1739.02416992  1088.8659668
  1194.19250488  1500.36853027  2468.2487793   1397.1003418   1990.21472168]",21.7710018158,0,1.0
